algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.0708,9576,7
MergeSort,random,10000,0.5930,126992,10
MergeSort,random,100000,7.5025,1639438,13
MergeSort,random,1000000,85.1030,19887670,17
MergeSort,sorted,1000,0.0100,4236,7
MergeSort,sorted,10000,0.1394,59248,10
MergeSort,sorted,100000,1.7582,744016,13
MergeSort,sorted,1000000,20.3226,9071040,17
MergeSort,duplicates,1000,0.0201,9072,7
MergeSort,duplicates,10000,0.3425,121389,10
MergeSort,duplicates,100000,3.8627,1561774,13
MergeSort,duplicates,1000000,41.5579,18926708,17
QuickSort,random,1000,0.0518,10336,5
QuickSort,random,10000,0.6441,159631,7
QuickSort,random,100000,8.0838,2086698,10
QuickSort,random,1000000,92.0799,23638766,13
QuickSort,sorted,1000,0.0345,10688,6
QuickSort,sorted,10000,0.4003,152659,7
QuickSort,sorted,100000,4.6144,2081448,11
QuickSort,sorted,1000000,52.3703,25340127,12
QuickSort,duplicates,1000,0.0147,3502,1
QuickSort,duplicates,10000,0.1398,39314,1
QuickSort,duplicates,100000,1.3430,309590,1
QuickSort,duplicates,1000000,13.0514,3698705,1
QuickSelect,random,1000,0.0130,3107,13
QuickSelect,random,10000,0.1085,30176,11
QuickSelect,random,100000,1.2257,391478,27
QuickSelect,random,1000000,11.0280,3881392,34
QuickSelect,sorted,1000,0.0043,2525,14
QuickSelect,sorted,10000,0.0549,37699,18
QuickSelect,sorted,100000,0.5574,404572,23
QuickSelect,sorted,1000000,4.1757,2994720,28
QuickSelect,duplicates,1000,0.0122,3079,7
QuickSelect,duplicates,10000,0.0960,22085,3
QuickSelect,duplicates,100000,1.0103,310423,4
QuickSelect,duplicates,1000000,10.5014,2301005,4
